t,qw,qx,qy,qz
39215.0,0.58484,-0.78516,-0.0816,0.18665
39248.0,0.58402,-0.78564,-0.0816,0.18713
39281.0,0.58259,-0.78662,-0.0816,0.1875
39315.0,0.58003,-0.78857,-0.08295,0.18665
39348.0,0.5813,-0.7876,-0.08362,0.18652
39381.0,0.5837,-0.78564,-0.08441,0.18689
39415.0,0.58913,-0.78125,-0.08643,0.18738
39448.0,0.59224,-0.77881,-0.08899,0.18652
39481.0,0.58999,-0.78076,-0.09039,0.18481
39514.0,0.58578,-0.78467,-0.09033,0.18164
39548.0,0.58098,-0.78906,-0.09039,0.17798
39581.0,0.57417,-0.79443,-0.08875,0.177
39614.0,0.56949,-0.79688,-0.08429,0.18323
